"","stream","habitat","period","parameter","stratum","estimate","se","lcl","ucl"
"1","CA","C",1,"S","1",0.911802382539508,0.00960289511461933,0.891078210034381,0.928898100952145
"2","CA","C",2,"S","1",0.913451631451498,0.0108799992496135,0.88961305269379,0.932532562726235
"3","CA","C",3,"S","1",0.829931449348422,0.0289471615096147,0.765518484114179,0.879436629738622
"4","CA","C",1,"S","2",0.939564932067398,0.00538526727555347,0.928106724740224,0.949296680872165
"5","CA","C",2,"S","2",0.932208341796548,0.00802807888017806,0.914677488332352,0.946348425527762
"6","CA","C",3,"S","2",0.88209509512412,0.014345423923662,0.850950957301076,0.907439465354731
"7","CA","C",1,"S","3",0.943090693968011,0.00612324345472022,0.92983077613349,0.953968951977377
"8","CA","C",2,"S","3",0.935602793176283,0.00597421773003652,0.922854412092027,0.946366954684144
"9","CA","C",3,"S","3",0.905760727982194,0.0102865965991073,0.883576235575523,0.924081158011903
"10","CA","I",1,"S","1",0.923241504218399,0.0208632723371726,0.871042693491025,0.955393512393707
"11","CA","I",2,"S","1",0.822171898867427,0.052322857404036,0.696294622406716,0.903134668672583
"12","CA","I",3,"S","1",0.659089935517448,0.102939000180104,0.440608958376062,0.825947322553962
"13","CA","I",1,"S","2",0.93897372753496,0.00786625431408937,0.921609922526111,0.952688743720016
"14","CA","I",2,"S","2",0.923211677811922,0.0137267283810435,0.891610697420601,0.946155771586526
"15","CA","I",3,"S","2",0.842305622761095,0.0355085864076653,0.759789737450259,0.900199301263816
"16","CA","I",1,"S","3",0.922933580890677,0.00992113801552334,0.901099848443384,0.940266761523952
"17","CA","I",2,"S","3",0.907501577092536,0.0108319184130689,0.883971667006479,0.926655680191204
"18","CA","I",3,"S","3",0.819514045378411,0.0272127527246323,0.759960415153915,0.866880509852575
"19","CA","C",1,"Psi","1to2",0.26158396361399,0.0329115039371617,0.202344759800087,0.330970191612098
"20","CA","C",2,"Psi","1to2",0.286807680076383,0.0368042615711881,0.220355980228541,0.363944324114663
"21","CA","C",3,"Psi","1to2",0.419615718016759,0.0622762176691874,0.304588557479103,0.544094997646999
"22","CA","C",1,"Psi","2to3",0.171657463469947,0.0194614127835645,0.136793471022484,0.213212429255903
"23","CA","C",2,"Psi","2to3",0.207673370680158,0.0263075710729134,0.160789272337677,0.26392891333319
"24","CA","C",3,"Psi","2to3",0.231229096346705,0.0309902213017901,0.176088719314292,0.297403448953107
"25","CA","I",1,"Psi","1to2",0.421536309210482,0.094966553735441,0.253545437527428,0.609890484794045
"26","CA","I",2,"Psi","1to2",0.256985769885679,0.084244150358829,0.12714664035345,0.450918021798742
"27","CA","I",3,"Psi","1to2",0.584482485441872,0.0968720892245053,0.391602680244851,0.754541909341695
"28","CA","I",1,"Psi","2to3",0.207448890958902,0.0288203568327914,0.156574848711271,0.269569705619693
"29","CA","I",2,"Psi","2to3",0.254643189952097,0.0421423366472837,0.181060170971008,0.345513735734338
"30","CA","I",3,"Psi","2to3",0.375893474448326,0.0886646992334362,0.223086158550343,0.558170670112816
"31","TY","C",1,"S","1",0.864311186223867,0.0106884860874459,0.841967487113892,0.88393129102221
"32","TY","C",2,"S","1",0.922135068148721,0.0109923597704829,0.897675560766429,0.941131293239571
"33","TY","C",3,"S","1",0.60362516139184,0.0786881511368529,0.444233615277064,0.743679967422374
"34","TY","C",1,"S","2",0.896979589536221,0.0073560802139026,0.881643137598838,0.910530450175674
"35","TY","C",2,"S","2",0.885068202458356,0.0119427481118746,0.859508754123237,0.906483590125261
"36","TY","C",3,"S","2",0.88197157349873,0.0184576436375703,0.840735644363108,0.913627768219317
"37","TY","C",1,"S","3",0.900704362008485,0.0115395738052324,0.875685178509,0.92114175027392
"38","TY","C",2,"S","3",0.890252079890364,0.016309091543435,0.853978532834917,0.918376108210891
"39","TY","C",3,"S","3",0.908515717162375,0.00950730762359038,0.888097087787848,0.92552102648788
"40","TY","I",1,"S","1",0.935082322547554,0.00801198850813491,0.917497914114513,0.949126600016493
"41","TY","I",2,"S","1",0.927247323158208,0.0129641895420673,0.89738445323691,0.948914306091228
"42","TY","I",3,"S","1",0.716846041211607,0.101060587437759,0.48825815669226,0.870424353283105
"43","TY","I",1,"S","2",0.909076930919122,0.00706015929075701,0.894259039292773,0.921999396128773
"44","TY","I",2,"S","2",0.898263580773428,0.00942882623354878,0.878238901704801,0.915312614261846
"45","TY","I",3,"S","2",0.865798797548077,0.0410902615737162,0.763358980673612,0.928071819943184
"46","TY","I",1,"S","3",0.923984179347732,0.00982978242730902,0.902336107511507,0.941146748825078
"47","TY","I",2,"S","3",0.89914532517926,0.0157321291220883,0.863861508804003,0.926067047340153
"48","TY","I",3,"S","3",0.823544416198231,0.0411321104025158,0.728254832770392,0.890446499228905
"49","TY","C",1,"Psi","1to2",0.197626917232116,0.0274597006472981,0.149236714023221,0.256968454217915
"50","TY","C",2,"Psi","1to2",0.309370608539745,0.0366456958393607,0.242462845650528,0.385349596846018
"51","TY","C",3,"Psi","1to2",0.410682234736927,0.0949117432744406,0.244204028965641,0.600482473679932
"52","TY","C",1,"Psi","2to3",0.100670597306485,0.0159859250882084,0.0733817840900547,0.136611315126718
"53","TY","C",2,"Psi","2to3",0.0776935836205745,0.0175937444520928,0.0494853221814751,0.119952263769547
"54","TY","C",3,"Psi","2to3",0.331174076162719,0.0546575404768173,0.233880672307332,0.445410371939365
"55","TY","I",1,"Psi","1to2",0.385742079288407,0.0452287215164569,0.301667675464586,0.477235059939946
"56","TY","I",2,"Psi","1to2",0.411543718188896,0.0571239183425149,0.305784845072591,0.52615745024204
"57","TY","I",3,"Psi","1to2",0.239838817379449,0.132756869598878,0.0703878233756609,0.567981513160403
"58","TY","I",1,"Psi","2to3",0.0686834361473744,0.0131835032174751,0.0469294777370469,0.0994689320584619
"59","TY","I",2,"Psi","2to3",0.114703205468602,0.0187554386335137,0.0827484249605035,0.156887286122447
"60","TY","I",3,"Psi","2to3",0.169594222058729,0.0856185381576138,0.0584111509933822,0.402045417734778
